,Prix (€),Marque,Taille,Etat,Matière,Localisation,Option de paiement,Vues,Date d'ajout,Département,Libellé du département,Nbvoix,%popent,%popvot
63,8.0,Jules,W30 | FR 40,Très bon état,,Valenciennes,Carte bancaire,5,"12/28/2023, 5:15:59 PM",59,Nord,232470.0,12.77,29.29
64,5.0,SMOG,W36 | FR 46,Bon état,,Le Mans,Carte bancaire,3,"12/28/2023, 8:45:19 PM",72,Sarthe,46201.0,11.209999999999999,25.23
65,5.0,H&M,W23 | FR 32,Très bon état,,Paris,Carte bancaire,12,"12/27/2023, 12:27:55 PM",75,Paris,298944.0,21.94,40.16
66,5.0,Celio,W38 | FR 48,Très bon état,,Thoiry,Carte bancaire,61,"12/25/2023, 10:46:04 AM",1,Ain,51895.0,11.78,25.04
67,6.0,Jack & Jones,W29 | FR 38,Neuf sans étiquette,,Belleydoux,Carte bancaire,0,"12/29/2023, 11:23:29 AM",1,Ain,51895.0,11.78,25.04
68,6.0,,W34 | FR 44,Très bon état,,Tourny,Carte bancaire,13,"12/28/2023, 6:19:17 PM",27,Eure,53761.0,12.389999999999999,25.92
69,5.0,Zara,W32 | FR 42,Satisfaisant,,Riantec,Carte bancaire,2,"12/29/2023, 10:43:33 AM",56,Morbihan,82148.0,13.440000000000001,26.09
70,6.0,Zara,W30 | FR 40,Très bon état,,Feignies,Carte bancaire,1,"12/29/2023, 11:39:14 AM",59,Nord,232470.0,12.77,29.29
71,5.0,Leeyo Jeans,W28 | FR 38,Très bon état,,Buigny-Saint-Maclou,Carte bancaire,0,"12/29/2023, 12:51:07 PM",80,Somme,52514.0,12.78,26.61
72,5.0,Casual by Gémo,W38 | FR 48,Neuf sans étiquette,,Fougueyrolles,Carte bancaire,1,"12/29/2023, 11:09:58 AM",24,Dordogne,43986.0,13.77,25.77
