,Prix (€),Marque,Taille,Etat,Matière,Localisation,Option de paiement,Vues,Date d'ajout
1240,"5,00",Bizzbee,W29 | FR 38,Neuf sans étiquette,,"Sarlat-la-Canéda, France",Carte bancaire,0,"12/29/2023, 9:19:11 PM"
1241,"5,00",Bonobo,W26 | FR 36,Très bon état,,"Sarlat-la-Canéda, France",Carte bancaire,0,"12/29/2023, 9:08:58 PM"
1242,"6,00",Diesel,W32 | FR 42,Très bon état,,"Mantes-la-Ville, France",Carte bancaire,20,"12/29/2023, 6:45:32 PM"
1243,"5,00",BZB,W26 | FR 36,Très bon état,Coton,France,Carte bancaire,18,"12/29/2023, 3:47:13 PM"
1244,"6,00",Nike,M,Bon état,,"Saint-Jean-de-Védas, France",Carte bancaire,25,"12/29/2023, 7:22:10 PM"
1245,"5,00",Leeyo Jeans,W28 | FR 38,Très bon état,,"Buigny-Saint-Maclou, France",Carte bancaire,9,"12/29/2023, 12:51:07 PM"
1246,"5,00",C&A,W34 | FR 44,Très bon état,Coton,"Baume-les-Dames, France",Carte bancaire,8,"12/27/2023, 11:51:26 AM"
1247,"5,00",Celio,W30 | FR 40,Neuf sans étiquette,,France,Carte bancaire,14,"12/28/2023, 1:33:00 PM"
1248,"5,00",Pull & Bear,W30 | FR 40,Très bon état,,"Paris, France",Carte bancaire,35,"12/29/2023, 3:32:51 PM"
1249,"5,00",Zara,W30 | FR 40,Très bon état,,France,Carte bancaire,140,"12/28/2023, 3:25:04 PM"
1250,"5,00",Celio,W33 | FR 42,Très bon état,,"Saint-Jacques-de-la-Lande, France",Carte bancaire,2,"12/29/2023, 9:01:47 PM"
1251,"5,00",Bonobo,W28 | FR 38,Très bon état,,"Sarlat-la-Canéda, France",Carte bancaire,0,"12/29/2023, 9:06:12 PM"
1252,"9,00",The Rockn Rev,W32 | FR 42,Neuf sans étiquette,,"Esternay, France",Carte bancaire,2,"12/29/2023, 1:53:56 PM"
1253,"5,00",Bonobo,W27 | FR 36,Très bon état,,"Sarlat-la-Canéda, France",Carte bancaire,0,"12/29/2023, 9:24:32 PM"
1254,"5,00",Brave Soul,W28 | FR 38,Très bon état,,France,Carte bancaire,16,"12/25/2023, 5:51:23 PM"
1255,"5,00",Urban Rags,W30 | FR 40,Très bon état,"Coton, Polyes","Broye-Aubigney-Montseugny, France",Carte bancaire,20,"12/27/2023, 9:47:41 AM"
1256,"5,00",ICON,W23 | FR 32,Très bon état,,"Quimper, France",Carte bancaire,74,"12/28/2023, 4:13:03 PM"
1257,"7,00",Levi's,W30 | FR 40,Très bon état,,"Neuville-de-Poitou, France",Carte bancaire,29,"12/29/2023, 2:14:08 PM"
1258,"5,00",Celio,W33 | FR 42,Très bon état,,"Saint-Jacques-de-la-Lande, France",Carte bancaire,0,"12/29/2023, 9:08:26 PM"
1259,"6,00",Pionier,W36 | FR 46,Très bon état,,"Saint-Loubès, France",Carte bancaire,55,"12/29/2023, 3:50:17 PM"
