,Prix (€),Marque,Taille,Etat,Matière,Localisation,Option de paiement,Vues,Date d'ajout
0,"6,00",,W34 | FR 44,Très bon état,,"Tourny, France",Carte bancaire,13,"12/28/2023, 6:19:17 PM"
1,"5,00",,W30 | FR 40,Neuf sans étiquette,Coton,France,Carte bancaire,0,"12/29/2023, 12:52:25 PM"
2,"5,00",Zara,W32 | FR 42,Satisfaisant,,"Riantec, France",Carte bancaire,2,"12/29/2023, 10:43:33 AM"
3,"8,00",Bonobo,W34 | FR 44,Très bon état,,France,Carte bancaire,3,"12/29/2023, 11:47:15 AM"
4,"6,00",Zara,W30 | FR 40,Très bon état,,"Feignies, France",Carte bancaire,1,"12/29/2023, 11:39:14 AM"
5,"5,00",Leeyo Jeans,W28 | FR 38,Très bon état,,"Buigny-Saint-Maclou, France",Carte bancaire,0,"12/29/2023, 12:51:07 PM"
6,"5,00",Casual by Gémo,W38 | FR 48,Neuf sans étiquette,,"Fougueyrolles, France",Carte bancaire,1,"12/29/2023, 11:09:58 AM"
7,"10,00",Redskins,W33 | FR 42,Neuf avec étiquette,,"Arles, France",Carte bancaire,0,"12/29/2023, 12:27:06 PM"
8,"5,00",Pull & Bear,W26 | FR 36,Très bon état,,"Cabriès, France",Carte bancaire,123,"12/28/2023, 6:55:30 PM"
9,"5,00",Openfield,W36 | FR 46,Très bon état,,"Seichamps, France",Carte bancaire,125,"12/28/2023, 6:50:32 AM"
10,"10,00",RAW,W25 | FR 34,Neuf sans étiquette,,"Paris, France",Carte bancaire,0,"12/29/2023, 12:15:38 PM"
11,"5,00",John H,W24 | FR 34,Neuf sans étiquette,"Coton, Élasthanne","Villejuif, France",Carte bancaire,0,"12/29/2023, 11:46:27 AM"
12,"5,00",Dockers,W23 | FR 32,Très bon état,,France,Carte bancaire,2,"12/29/2023, 12:33:15 PM"
13,"5,00",Brave Soul,W28 | FR 38,Très bon état,,France,Carte bancaire,15,"12/25/2023, 5:51:23 PM"
14,"5,00",Devred,W28 | FR 38,Très bon état,,France,Carte bancaire,24,"12/28/2023, 10:17:35 AM"
15,"8,00",Autograph,W33 | FR 42,Neuf sans étiquette,,France,Carte bancaire,1,"12/29/2023, 12:24:25 PM"
16,"7,00",ICON,W32 | FR 42,Très bon état,,"Berre-l'Étang, France",Carte bancaire,105,"12/27/2023, 10:16:05 AM"
17,"5,00",Jack & Jones,W32 | FR 42,Très bon état,,"Guiler-sur-Goyen, France",Carte bancaire,125,"12/24/2023, 10:42:36 AM"
18,"5,00",Kiliwatch,W32 | FR 42,Neuf sans étiquette,,"Camaret-sur-Aigues, France",Carte bancaire,0,"12/29/2023, 12:39:04 PM"
19,"5,00",G-Star,W32 | FR 42,Très bon état,,France,Carte bancaire,142,"12/27/2023, 4:01:20 PM"
20,"6,00",,W34 | FR 44,Très bon état,,"Lamonzie-Saint-Martin, France",Carte bancaire,13,"12/28/2023, 5:49:40 PM"
21,"5,00",Dsquared2,W23 | FR 32,Satisfaisant,,"Carpiquet, France",Carte bancaire,67,"12/28/2023, 2:35:59 PM"
22,"8,00",Quiksilver,W36 | FR 46,Très bon état,Coton,"Saint-Germain, France",Carte bancaire,2,"12/26/2023, 8:31:44 AM"
23,"5,00",ASOS Design,W26 | FR 36,Neuf sans étiquette,,France,Carte bancaire,14,"12/26/2023, 1:44:07 PM"
24,"6,00",Pull & Bear,W32 | FR 42,Très bon état,,"Pardines, France",Carte bancaire,42,"12/28/2023, 8:12:34 PM"
25,"6,00",Denim Co,W32 | FR 42,Très bon état,,France,Carte bancaire,0,"12/29/2023, 12:11:03 PM"
26,"5,00",Urban Rags,W30 | FR 40,Très bon état,"Coton, Polyes","Broye-Aubigney-Montseugny, France",Carte bancaire,19,"12/27/2023, 9:47:41 AM"
27,"5,00",ICON,W23 | FR 32,Très bon état,,"Quimper, France",Carte bancaire,47,"12/28/2023, 4:13:03 PM"
28,"5,00",Tally Weijl,W32 | FR 42,Très bon état,,France,Carte bancaire,0,"12/29/2023, 12:16:59 PM"
29,"6,00",Celio,W40 | FR 50,Très bon état,Coton,"Saint-Geours-de-Maremne, France",Carte bancaire,10,"12/28/2023, 2:19:04 PM"
30,"5,00",Sixth Sense,W48 | FR 58,Bon état,,"Blainville-sur-l'Eau, France",Carte bancaire,7,"12/28/2023, 1:36:41 PM"
31,"8,00",Bershka,W31 | FR 40,Bon état,"Coton, V","Guissény, France",Carte bancaire,44,"12/28/2023, 11:05:33 AM"
32,"7,00",Tailor & Son,W34 | FR 44,Très bon état,,France,Carte bancaire,2,"12/29/2023, 11:57:21 AM"
33,"5,00",Straight,W35 | FR 44,Très bon état,,France,Carte bancaire,0,"12/29/2023, 12:28:24 PM"
34,"5,00",Kiabi,W40 | FR 50,Très bon état,,"La Bazoge, France",Carte bancaire,4,"12/29/2023, 10:13:26 AM"
35,"6,00",Creeks,W36 | FR 46,Très bon état,,"Lattes, France",Carte bancaire,9,"12/28/2023, 2:42:21 PM"
36,"10,00",Jack & Jones,W33 | FR 42,Neuf sans étiquette,,"Saint-Denis-du-Payré, France",Carte bancaire,3,"12/29/2023, 12:34:58 PM"
37,"5,00",Pull & Bear,W28 | FR 38,Très bon état,Denim,"Saint-Bernard, France",Carte bancaire,0,"12/29/2023, 11:51:59 AM"
38,"8,00",G-Star,W32 | FR 42,Très bon état,,"Chamalières, France",Carte bancaire,20,"12/29/2023, 10:06:25 AM"
39,"6,00",Devred,W33 | FR 42,Très bon état,,"Bussières, France",Carte bancaire,9,"12/28/2023, 10:50:59 AM"
40,"7,00",Siksilk,M,Très bon état,,France,Carte bancaire,11,"12/28/2023, 12:08:23 PM"
41,"6,00",Red Bridge,W30 | FR 40,Très bon état,Coton,"Hérouville-Saint-Clair, France",Carte bancaire,2,"12/29/2023, 12:19:55 PM"
42,"8,00",,W23 | FR 32,Très bon état,,"Hombleux, France",Carte bancaire,0,"12/29/2023, 12:40:10 PM"
43,"10,00",Le Temps des Cerises,W34 | FR 44,Neuf sans étiquette,,France,Carte bancaire,3,"12/29/2023, 11:43:48 AM"
44,"5,00",Ritchie,W30 | FR 40,Très bon état,"Coton, Polyes","Aveizieux, France",Carte bancaire,0,"12/29/2023, 12:04:03 PM"
45,"5,00",Bonobo,W26 | FR 36,Neuf sans étiquette,,"Saint-Laurs, France",Carte bancaire,7,"12/28/2023, 10:16:46 AM"
46,"5,00",Celio,W33 | FR 42,Très bon état,,France,Carte bancaire,3,"12/29/2023, 11:48:33 AM"
47,"5,00",Wrangler,W31 | FR 40,Très bon état,"Coton, Polyes","Aveizieux, France",Carte bancaire,2,"12/29/2023, 12:09:31 PM"
48,"6,00",Jules,W32 | FR 42,Très bon état,,"Saint-Nicolas-de-la-Taille, France",Carte bancaire,1,"12/29/2023, 12:21:02 PM"
49,"5,00",SMOG,W36 | FR 46,Bon état,,"Le Mans, France",Carte bancaire,5,"12/28/2023, 8:43:05 PM"
50,"6,00",Pull & Bear,W32 | FR 42,Très bon état,,"Perros-Guirec, France",Carte bancaire,8,"12/27/2023, 1:35:41 PM"
51,"5,00",districenter,M,Très bon état,,"Saint-Jean-de-Maurienne, France",Carte bancaire,5,"12/28/2023, 5:26:51 PM"
52,"5,00",Teddy Smith,S,Bon état,,"Olivet, France",Carte bancaire,4,"12/27/2023, 8:55:42 PM"
53,"5,00",GovdenimM5888,W34 | FR 44,Très bon état,Coton,"Segonzac, France",Carte bancaire,25,"12/27/2023, 4:55:37 PM"
54,"5,00",Zara,W30 | FR 40,Très bon état,,France,Carte bancaire,101,"12/28/2023, 3:25:04 PM"
55,"8,00",NEW Stone,W32 | FR 42,Bon état,,"Sornay, France",Carte bancaire,4,"12/27/2023, 4:28:43 PM"
56,"15,00",Levi's,W30 | FR 40,Très bon état,,"Paris, France",Carte bancaire,118,"12/28/2023, 10:13:59 PM"
57,"6,00",Kaporal,W32 | FR 42,Très bon état,Coton,"Serqueux, France",Carte bancaire,81,"12/26/2023, 8:43:06 PM"
58,"5,00",Zara,M,Neuf sans étiquette,,"Carnoux-en-Provence, France",Carte bancaire,22,"12/26/2023, 9:42:49 PM"
59,"5,00",Uniqlo,W30 | FR 40,Neuf sans étiquette,,"Levallois-Perret, France",Carte bancaire,35,"12/29/2023, 1:02:50 AM"
60,"5,00",Zara,W28 | FR 38,Bon état,,"Lignan-sur-Orb, France",Carte bancaire,0,"12/29/2023, 12:22:57 PM"
61,"6,00",Jack & Jones,W31 | FR 40,Bon état,Coton,"Le Thor, France",Carte bancaire,16,"12/26/2023, 3:22:33 PM"
62,"5,00",Celio,W34 | FR 44,Très bon état,,"Mouzon, France",Carte bancaire,36,"12/26/2023, 10:00:47 PM"
63,"5,00",Bonobo,W38 | FR 48,Très bon état,,"Plaisance-du-Touch, France",Carte bancaire,1,"12/29/2023, 11:48:27 AM"
64,"5,00",Sixth June,W33 | FR 42,Bon état,,"Les Pennes-Mirabeau, France",Carte bancaire,6,"12/27/2023, 10:53:39 AM"
65,"5,00",Bonobo,W30 | FR 40,Très bon état,Coton,"Saint-Mihiel, France",Carte bancaire,17,"12/27/2023, 6:34:12 PM"
66,"8,00",Diesel,W34 | FR 44,Bon état,,"Bellegarde, France",Carte bancaire,54,"12/27/2023, 2:20:24 PM"
67,"10,00",Levi's,W38 | FR 48,Très bon état,,"Le Chambon-Feugerolles, France",Carte bancaire,21,"12/28/2023, 1:05:01 PM"
68,"9,00",Lee Cooper,W34 | FR 44,Très bon état,"Coton, Polyes","Lyon, France",Carte bancaire,13,"12/28/2023, 4:12:15 PM"
69,"10,00",Nike,L,Très bon état,,"Saint-Jean-Lasseille, France",Carte bancaire,25,"12/29/2023, 10:06:33 AM"
70,"5,00",Zara,W31 | FR 40,Très bon état,,"Feignies, France",Carte bancaire,0,"12/29/2023, 12:24:43 PM"
71,"5,00",Celio,W32 | FR 42,Très bon état,"Coton, Élasth","Mirmande, France",Carte bancaire,13,"12/28/2023, 10:32:57 AM"
72,"5,00",Bonobo,W32 | FR 42,Très bon état,"Coton, Polyes","Fondettes, France",Carte bancaire,11,"12/28/2023, 6:08:18 PM"
73,"7,00",Chevignon,W30 | FR 40,Très bon état,,France,Carte bancaire,17,"12/28/2023, 11:05:52 AM"
74,"5,00",Jack & Jones,W31 | FR 40,Neuf sans étiquette,,"Achicourt, France",Carte bancaire,10,"12/28/2023, 11:02:03 AM"
75,"5,00",Armand Thiery,W30 | FR 40,Neuf sans étiquette,,France,Carte bancaire,6,"12/27/2023, 10:58:10 AM"
76,"5,00",Bershka,W31 | FR 40,Très bon état,,"Feignies, France",Carte bancaire,0,"12/29/2023, 12:20:44 PM"
77,"5,00",Bershka,W31 | FR 40,Très bon état,,"Feignies, France",Carte bancaire,0,"12/29/2023, 12:19:24 PM"
78,"5,00",Shein,W23 | FR 32,Neuf avec étiquette,Coton,"Fondettes, France",Carte bancaire,3,"12/28/2023, 9:11:26 AM"
79,"5,00",Pull & Bear,W32 | FR 42,Bon état,,"Perros-Guirec, France",Carte bancaire,1,"12/27/2023, 1:38:18 PM"
80,"5,00",Ross Carra,W26 | FR 36,Bon état,,"Blainville-sur-l'Eau, France",Carte bancaire,4,"12/28/2023, 1:46:54 PM"
81,"10,00",Jules,W36 | FR 46,Très bon état,,France,Carte bancaire,2,"12/29/2023, 10:52:24 AM"
82,"8,00",Jules,W30 | FR 40,Très bon état,,"Valenciennes, France",Carte bancaire,5,"12/28/2023, 5:15:59 PM"
83,"5,00",SMOG,W36 | FR 46,Bon état,,"Le Mans, France",Carte bancaire,3,"12/28/2023, 8:45:19 PM"
84,"5,00",H&M,W23 | FR 32,Très bon état,,"Paris, France",Carte bancaire,12,"12/27/2023, 12:27:55 PM"
85,"5,00",Celio,W38 | FR 48,Très bon état,,"Thoiry, France",Carte bancaire,61,"12/25/2023, 10:46:04 AM"
86,"6,00",Jack & Jones,W29 | FR 38,Neuf sans étiquette,,"Belleydoux, France",Carte bancaire,0,"12/29/2023, 11:23:29 AM"
87,"6,00",,W34 | FR 44,Très bon état,,"Tourny, France",Carte bancaire,13,"12/28/2023, 6:19:17 PM"
88,"5,00",,W30 | FR 40,Neuf sans étiquette,Coton,France,Carte bancaire,0,"12/29/2023, 12:52:25 PM"
89,"5,00",Zara,W32 | FR 42,Satisfaisant,,"Riantec, France",Carte bancaire,2,"12/29/2023, 10:43:33 AM"
90,"8,00",Bonobo,W34 | FR 44,Très bon état,,France,Carte bancaire,3,"12/29/2023, 11:47:15 AM"
91,"6,00",Zara,W30 | FR 40,Très bon état,,"Feignies, France",Carte bancaire,1,"12/29/2023, 11:39:14 AM"
92,"5,00",Leeyo Jeans,W28 | FR 38,Très bon état,,"Buigny-Saint-Maclou, France",Carte bancaire,0,"12/29/2023, 12:51:07 PM"
93,"5,00",Casual by Gémo,W38 | FR 48,Neuf sans étiquette,,"Fougueyrolles, France",Carte bancaire,1,"12/29/2023, 11:09:58 AM"
94,"10,00",Redskins,W33 | FR 42,Neuf avec étiquette,,"Arles, France",Carte bancaire,2,"12/29/2023, 12:27:06 PM"
95,"5,00",Pull & Bear,W26 | FR 36,Très bon état,,"Cabriès, France",Carte bancaire,124,"12/28/2023, 6:55:30 PM"
96,"5,00",Openfield,W36 | FR 46,Très bon état,,"Seichamps, France",Carte bancaire,126,"12/28/2023, 6:50:32 AM"
97,"8,00",Calvin Klein,W33 | FR 42,Très bon état,,France,Carte bancaire,24,"12/29/2023, 10:44:21 AM"
98,"5,00",John H,W24 | FR 34,Neuf sans étiquette,"Coton, Élasthanne","Villejuif, France",Carte bancaire,0,"12/29/2023, 11:46:27 AM"
99,"5,00",Dockers,W23 | FR 32,Très bon état,,France,Carte bancaire,4,"12/29/2023, 12:33:15 PM"
100,"5,00",Brave Soul,W28 | FR 38,Très bon état,,France,Carte bancaire,15,"12/25/2023, 5:51:23 PM"
101,"5,00",Devred,W28 | FR 38,Très bon état,,France,Carte bancaire,24,"12/28/2023, 10:17:35 AM"
102,"10,00",RAW,W25 | FR 34,Neuf sans étiquette,,"Paris, France",Carte bancaire,0,"12/29/2023, 12:15:38 PM"
103,"8,00",Autograph,W33 | FR 42,Neuf sans étiquette,,France,Carte bancaire,1,"12/29/2023, 12:24:25 PM"
104,"7,00",ICON,W32 | FR 42,Très bon état,,"Berre-l'Étang, France",Carte bancaire,105,"12/27/2023, 10:16:05 AM"
105,"5,00",Jack & Jones,W32 | FR 42,Très bon état,,"Guiler-sur-Goyen, France",Carte bancaire,125,"12/24/2023, 10:42:36 AM"
106,"5,00",Kiliwatch,W32 | FR 42,Neuf sans étiquette,,"Camaret-sur-Aigues, France",Carte bancaire,0,"12/29/2023, 12:39:04 PM"
107,"5,00",G-Star,W32 | FR 42,Très bon état,,France,Carte bancaire,142,"12/27/2023, 4:01:20 PM"
108,"6,00",,W34 | FR 44,Très bon état,,"Lamonzie-Saint-Martin, France",Carte bancaire,13,"12/28/2023, 5:49:40 PM"
109,"5,00",Dsquared2,W23 | FR 32,Satisfaisant,,"Carpiquet, France",Carte bancaire,67,"12/28/2023, 2:35:59 PM"
110,"8,00",Quiksilver,W36 | FR 46,Très bon état,Coton,"Saint-Germain, France",Carte bancaire,2,"12/26/2023, 8:31:44 AM"
111,"5,00",ASOS Design,W26 | FR 36,Neuf sans étiquette,,France,Carte bancaire,14,"12/26/2023, 1:44:07 PM"
112,"6,00",Pull & Bear,W32 | FR 42,Très bon état,,"Pardines, France",Carte bancaire,43,"12/28/2023, 8:12:34 PM"
113,"5,00",Bonobo,W38 | FR 48,Très bon état,,"Plaisance-du-Touch, France",Carte bancaire,1,"12/29/2023, 11:48:27 AM"
114,"6,00",Denim Co,W32 | FR 42,Très bon état,,France,Carte bancaire,0,"12/29/2023, 12:11:03 PM"
115,"5,00",Urban Rags,W30 | FR 40,Très bon état,"Coton, Polyes","Broye-Aubigney-Montseugny, France",Carte bancaire,19,"12/27/2023, 9:47:41 AM"
116,"5,00",ICON,W23 | FR 32,Très bon état,,"Quimper, France",Carte bancaire,48,"12/28/2023, 4:13:03 PM"
117,"5,00",Tally Weijl,W32 | FR 42,Très bon état,,France,Carte bancaire,0,"12/29/2023, 12:16:59 PM"
118,"6,00",Celio,W40 | FR 50,Très bon état,Coton,"Saint-Geours-de-Maremne, France",Carte bancaire,10,"12/28/2023, 2:19:04 PM"
119,"5,00",Sixth Sense,W48 | FR 58,Bon état,,"Blainville-sur-l'Eau, France",Carte bancaire,7,"12/28/2023, 1:36:41 PM"
120,"8,00",Bershka,W31 | FR 40,Bon état,"Coton, V","Guissény, France",Carte bancaire,44,"12/28/2023, 11:05:33 AM"
121,"7,00",Tailor & Son,W34 | FR 44,Très bon état,,France,Carte bancaire,2,"12/29/2023, 11:57:21 AM"
122,"5,00",Straight,W35 | FR 44,Très bon état,,France,Carte bancaire,0,"12/29/2023, 12:28:24 PM"
123,"5,00",Kiabi,W40 | FR 50,Très bon état,,"La Bazoge, France",Carte bancaire,4,"12/29/2023, 10:13:26 AM"
124,"6,00",Creeks,W36 | FR 46,Très bon état,,"Lattes, France",Carte bancaire,9,"12/28/2023, 2:42:21 PM"
125,"10,00",Jack & Jones,W33 | FR 42,Neuf sans étiquette,,"Saint-Denis-du-Payré, France",Carte bancaire,4,"12/29/2023, 12:34:58 PM"
126,"5,00",Pull & Bear,W28 | FR 38,Très bon état,Denim,"Saint-Bernard, France",Carte bancaire,0,"12/29/2023, 11:51:59 AM"
127,"8,00",G-Star,W32 | FR 42,Très bon état,,"Chamalières, France",Carte bancaire,20,"12/29/2023, 10:06:25 AM"
128,"6,00",Devred,W33 | FR 42,Très bon état,,"Bussières, France",Carte bancaire,9,"12/28/2023, 10:50:59 AM"
129,"7,00",Siksilk,M,Très bon état,,France,Carte bancaire,11,"12/28/2023, 12:08:23 PM"
130,"6,00",Red Bridge,W30 | FR 40,Très bon état,Coton,"Hérouville-Saint-Clair, France",Carte bancaire,2,"12/29/2023, 12:19:55 PM"
131,"8,00",,W23 | FR 32,Très bon état,,"Hombleux, France",Carte bancaire,0,"12/29/2023, 12:40:10 PM"
132,"10,00",Le Temps des Cerises,W34 | FR 44,Neuf sans étiquette,,France,Carte bancaire,3,"12/29/2023, 11:43:48 AM"
133,"5,00",Ritchie,W30 | FR 40,Très bon état,"Coton, Polyes","Aveizieux, France",Carte bancaire,0,"12/29/2023, 12:04:03 PM"
134,"5,00",Bonobo,W26 | FR 36,Neuf sans étiquette,,"Saint-Laurs, France",Carte bancaire,7,"12/28/2023, 10:16:46 AM"
135,"5,00",Celio,W33 | FR 42,Très bon état,,France,Carte bancaire,3,"12/29/2023, 11:48:33 AM"
136,"5,00",Wrangler,W31 | FR 40,Très bon état,"Coton, Polyes","Aveizieux, France",Carte bancaire,2,"12/29/2023, 12:09:31 PM"
137,"6,00",Jules,W32 | FR 42,Très bon état,,"Saint-Nicolas-de-la-Taille, France",Carte bancaire,1,"12/29/2023, 12:21:02 PM"
138,"5,00",SMOG,W36 | FR 46,Bon état,,"Le Mans, France",Carte bancaire,5,"12/28/2023, 8:43:05 PM"
139,"6,00",Pull & Bear,W32 | FR 42,Très bon état,,"Perros-Guirec, France",Carte bancaire,8,"12/27/2023, 1:35:41 PM"
140,"5,00",districenter,M,Très bon état,,"Saint-Jean-de-Maurienne, France",Carte bancaire,5,"12/28/2023, 5:26:51 PM"
141,"5,00",Teddy Smith,S,Bon état,,"Olivet, France",Carte bancaire,4,"12/27/2023, 8:55:42 PM"
142,"5,00",GovdenimM5888,W34 | FR 44,Très bon état,Coton,"Segonzac, France",Carte bancaire,25,"12/27/2023, 4:55:37 PM"
143,"5,00",Zara,W30 | FR 40,Très bon état,,France,Carte bancaire,101,"12/28/2023, 3:25:04 PM"
144,"8,00",NEW Stone,W32 | FR 42,Bon état,,"Sornay, France",Carte bancaire,4,"12/27/2023, 4:28:43 PM"
145,"15,00",Levi's,W30 | FR 40,Très bon état,,"Paris, France",Carte bancaire,121,"12/28/2023, 10:13:59 PM"
146,"6,00",Kaporal,W32 | FR 42,Très bon état,Coton,"Serqueux, France",Carte bancaire,81,"12/26/2023, 8:43:06 PM"
147,"5,00",Zara,M,Neuf sans étiquette,,"Carnoux-en-Provence, France",Carte bancaire,22,"12/26/2023, 9:42:49 PM"
148,"5,00",Uniqlo,W30 | FR 40,Neuf sans étiquette,,"Levallois-Perret, France",Carte bancaire,36,"12/29/2023, 1:02:50 AM"
149,"5,00",Zara,W28 | FR 38,Bon état,,"Lignan-sur-Orb, France",Carte bancaire,0,"12/29/2023, 12:22:57 PM"
150,"6,00",Jack & Jones,W31 | FR 40,Bon état,Coton,"Le Thor, France",Carte bancaire,16,"12/26/2023, 3:22:33 PM"
151,"5,00",Celio,W34 | FR 44,Très bon état,,"Mouzon, France",Carte bancaire,36,"12/26/2023, 10:00:47 PM"
152,"5,00",Sixth June,W33 | FR 42,Bon état,,"Les Pennes-Mirabeau, France",Carte bancaire,6,"12/27/2023, 10:53:39 AM"
153,"5,00",Bonobo,W30 | FR 40,Très bon état,Coton,"Saint-Mihiel, France",Carte bancaire,17,"12/27/2023, 6:34:12 PM"
154,"8,00",Diesel,W34 | FR 44,Bon état,,"Bellegarde, France",Carte bancaire,55,"12/27/2023, 2:20:24 PM"
155,"10,00",Levi's,W38 | FR 48,Très bon état,,"Le Chambon-Feugerolles, France",Carte bancaire,21,"12/28/2023, 1:05:01 PM"
156,"9,00",Lee Cooper,W34 | FR 44,Très bon état,"Coton, Polyes","Lyon, France",Carte bancaire,13,"12/28/2023, 4:12:15 PM"
157,"10,00",Nike,L,Très bon état,,"Saint-Jean-Lasseille, France",Carte bancaire,25,"12/29/2023, 10:06:33 AM"
158,"5,00",Zara,W31 | FR 40,Très bon état,,"Feignies, France",Carte bancaire,0,"12/29/2023, 12:24:43 PM"
159,"5,00",Bonobo,W32 | FR 42,Très bon état,"Coton, Polyes","Fondettes, France",Carte bancaire,11,"12/28/2023, 6:08:18 PM"
160,"7,00",Chevignon,W30 | FR 40,Très bon état,,France,Carte bancaire,17,"12/28/2023, 11:05:52 AM"
161,"5,00",Jack & Jones,W31 | FR 40,Neuf sans étiquette,,"Achicourt, France",Carte bancaire,10,"12/28/2023, 11:02:03 AM"
162,"5,00",Armand Thiery,W30 | FR 40,Neuf sans étiquette,,France,Carte bancaire,6,"12/27/2023, 10:58:10 AM"
163,"5,00",,W27 | FR 36,Très bon état,,"Châtenay-Malabry, France",Carte bancaire,4,"12/29/2023, 1:22:42 AM"
164,"5,00",Bershka,W31 | FR 40,Très bon état,,"Feignies, France",Carte bancaire,0,"12/29/2023, 12:20:44 PM"
165,"5,00",Bershka,W31 | FR 40,Très bon état,,"Feignies, France",Carte bancaire,0,"12/29/2023, 12:19:24 PM"
166,"5,00",Shein,W23 | FR 32,Neuf avec étiquette,Coton,"Fondettes, France",Carte bancaire,3,"12/28/2023, 9:11:26 AM"
167,"5,00",Pull & Bear,W32 | FR 42,Bon état,,"Perros-Guirec, France",Carte bancaire,1,"12/27/2023, 1:38:18 PM"
168,"5,00",Ross Carra,W26 | FR 36,Bon état,,"Blainville-sur-l'Eau, France",Carte bancaire,4,"12/28/2023, 1:46:54 PM"
169,"10,00",Jules,W36 | FR 46,Très bon état,,France,Carte bancaire,2,"12/29/2023, 10:52:24 AM"
170,"8,00",Jules,W30 | FR 40,Très bon état,,"Valenciennes, France",Carte bancaire,5,"12/28/2023, 5:15:59 PM"
171,"5,00",SMOG,W36 | FR 46,Bon état,,"Le Mans, France",Carte bancaire,3,"12/28/2023, 8:45:19 PM"
172,"6,00",,W34 | FR 44,Très bon état,,"Tourny, France",Carte bancaire,13,"12/28/2023, 6:19:17 PM"
173,"5,00",,W30 | FR 40,Neuf sans étiquette,Coton,France,Carte bancaire,0,"12/29/2023, 12:52:25 PM"
174,"5,00",Zara,W32 | FR 42,Satisfaisant,,"Riantec, France",Carte bancaire,2,"12/29/2023, 10:43:33 AM"
175,"8,00",Bonobo,W34 | FR 44,Très bon état,,France,Carte bancaire,3,"12/29/2023, 11:47:15 AM"
176,"6,00",Zara,W30 | FR 40,Très bon état,,"Feignies, France",Carte bancaire,1,"12/29/2023, 11:39:14 AM"
177,"5,00",Leeyo Jeans,W28 | FR 38,Très bon état,,"Buigny-Saint-Maclou, France",Carte bancaire,0,"12/29/2023, 12:51:07 PM"
178,"5,00",Casual by Gémo,W38 | FR 48,Neuf sans étiquette,,"Fougueyrolles, France",Carte bancaire,1,"12/29/2023, 11:09:58 AM"
179,"10,00",Redskins,W33 | FR 42,Neuf avec étiquette,,"Arles, France",Carte bancaire,2,"12/29/2023, 12:27:06 PM"
180,"5,00",Pull & Bear,W26 | FR 36,Très bon état,,"Cabriès, France",Carte bancaire,124,"12/28/2023, 6:55:30 PM"
181,"5,00",Openfield,W36 | FR 46,Très bon état,,"Seichamps, France",Carte bancaire,129,"12/28/2023, 6:50:32 AM"
182,"8,00",Calvin Klein,W33 | FR 42,Très bon état,,France,Carte bancaire,24,"12/29/2023, 10:44:21 AM"
183,"5,00",John H,W24 | FR 34,Neuf sans étiquette,"Coton, Élasthanne","Villejuif, France",Carte bancaire,0,"12/29/2023, 11:46:27 AM"
184,"5,00",Brave Soul,W28 | FR 38,Très bon état,,France,Carte bancaire,15,"12/25/2023, 5:51:23 PM"
185,"5,00",Devred,W28 | FR 38,Très bon état,,France,Carte bancaire,24,"12/28/2023, 10:17:35 AM"
186,"10,00",RAW,W25 | FR 34,Neuf sans étiquette,,"Paris, France",Carte bancaire,0,"12/29/2023, 12:15:38 PM"
187,"8,00",Autograph,W33 | FR 42,Neuf sans étiquette,,France,Carte bancaire,1,"12/29/2023, 12:24:25 PM"
188,"7,00",ICON,W32 | FR 42,Très bon état,,"Berre-l'Étang, France",Carte bancaire,105,"12/27/2023, 10:16:05 AM"
189,"5,00",Jack & Jones,W32 | FR 42,Très bon état,,"Guiler-sur-Goyen, France",Carte bancaire,125,"12/24/2023, 10:42:36 AM"
190,"5,00",Kiliwatch,W32 | FR 42,Neuf sans étiquette,,"Camaret-sur-Aigues, France",Carte bancaire,0,"12/29/2023, 12:39:04 PM"
191,"5,00",G-Star,W32 | FR 42,Très bon état,,France,Carte bancaire,142,"12/27/2023, 4:01:20 PM"
192,"6,00",,W34 | FR 44,Très bon état,,"Lamonzie-Saint-Martin, France",Carte bancaire,13,"12/28/2023, 5:49:40 PM"
193,"5,00",Dsquared2,W23 | FR 32,Satisfaisant,,"Carpiquet, France",Carte bancaire,67,"12/28/2023, 2:35:59 PM"
194,"8,00",Quiksilver,W36 | FR 46,Très bon état,Coton,"Saint-Germain, France",Carte bancaire,2,"12/26/2023, 8:31:44 AM"
195,"5,00",ASOS Design,W26 | FR 36,Neuf sans étiquette,,France,Carte bancaire,14,"12/26/2023, 1:44:07 PM"
196,"6,00",Pull & Bear,W32 | FR 42,Très bon état,,"Pardines, France",Carte bancaire,43,"12/28/2023, 8:12:34 PM"
197,"5,00",Bonobo,W38 | FR 48,Très bon état,,"Plaisance-du-Touch, France",Carte bancaire,1,"12/29/2023, 11:48:27 AM"
198,"6,00",Denim Co,W32 | FR 42,Très bon état,,France,Carte bancaire,0,"12/29/2023, 12:11:03 PM"
199,"5,00",Urban Rags,W30 | FR 40,Très bon état,"Coton, Polyes","Broye-Aubigney-Montseugny, France",Carte bancaire,19,"12/27/2023, 9:47:41 AM"
200,"5,00",ICON,W23 | FR 32,Très bon état,,"Quimper, France",Carte bancaire,48,"12/28/2023, 4:13:03 PM"
201,"7,00",Wrangler,W30 | FR 40,Neuf sans étiquette,,"Drucat, France",Carte bancaire,9,"12/29/2023, 10:39:34 AM"
202,"5,00",Tally Weijl,W32 | FR 42,Très bon état,,France,Carte bancaire,0,"12/29/2023, 12:16:59 PM"
